name,sex,transcript
Békés,male,"('b', 'e:', 'k', 'e:', 'S')"
Bekő,male,"('b', 'E', 'k', 'Y')"
Béla,male,"('b', 'e:', 'l', 'A')"
Belár,male,"('b', 'E', 'l', 'a:', 'R2')"
Belián,male,"('b', 'E', 'l', 'i', 'a:', 'n')"
Belizár,male,"('b', 'E', 'l', 'i', 'z', 'a:', 'R2')"
Ben,male,"('b', 'E', 'n')"
Benája,male,"('b', 'E', 'n', 'a:', 'j', 'A')"
Benammi,male,"('b', 'E', 'n', 'A', 'm', 'm', 'i', 'i', 'b', 'E', 'n', 'A', 'm', 'm')"
Bence,male,"('b', 'E', 'n', 'ts', 'E')"
Bende,male,"('b', 'E', 'n', 'd', 'E')"
Bendegúz,male,"('b', 'E', 'n', 'd', 'E', 'g', 'u:', 'z')"
Bendit,male,"('b', 'E', 'n', 'd', 'i', 't')"
Bene,male,"('b', 'E', 'n', 'E')"
Benedek,male,"('b', 'E', 'n', 'E', 'd', 'E', 'k')"
Benedikt,male,"('b', 'E', 'n', 'E', 'd', 'i', 'k', 't')"
Benediktusz,male,"('b', 'E', 'n', 'E', 'd', 'i', 'k', 't', 'u', 's', 'S')"
Benett,male,"('b', 'E', 'n', 'E', 't:', 't')"
Béni,male,"('b', 'e:', 'n', 'i', 'i', 'b', 'e:', 'n')"
Beniel,male,"('b', 'E', 'n', 'i', 'E', 'l')"
Benignusz,male,"('b', 'E', 'n', 'i', 'g', 'n', 'u', 's', 'S')"
Benitó,male,"('b', 'E', 'n', 'i', 't', 'o:')"
Benjamin,male,"('b', 'E', 'n', 'n^n^', 'A', 'm', 'i', 'n')"
Benjámin,male,"('b', 'E', 'n', 'n^n^', 'a:', 'm', 'i', 'n')"
Benke,male,"('b', 'E', 'n', '(k', 'k', 'E')"
Benkő,male,"('b', 'E', 'n', '(k', 'k', 'Y')"
Bennó,male,"('b', 'E', 'n', 'n', 'o:')"
Benő,male,"('b', 'E', 'n', 'Y')"
Bentli,male,"('b', 'E', 'n', 't', 'l', 'i', 'i', 'b', 'E', 'n', 't', 'l')"
Benvenútó,male,"('b', 'E', 'n', 'v', 'E', 'n', 'u:', 't', 'o:')"
Berárd,male,"('b', 'E', 'R2', 'a:', 'R2', 'd')"
Bérc,male,"('b', 'e:', 'R2', 'ts')"
Bercel,male,"('b', 'E', 'R2', 'ts', 'E', 'l')"
Bere,male,"('b', 'E', 're', 'R2', 'b', 'E')"
Berec,male,"('b', 'E', 'R2', 'E', 'ts')"
Berend,male,"('b', 'E', 'R2', 'E', 'n', 'd')"
Berengár,male,"('b', 'E', 'R2', 'E', 'n', '(g', 'g', 'a:', 'R2')"
Berente,male,"('b', 'E', 'R2', 'E', 'n', 't', 'E')"
Berény,male,"('b', 'E', 'R2', 'e:', 'n', 'n^')"
Berger,male,"('b', 'E', 'R2', 'g', 'E', 'R2')"
Berián,male,"('b', 'E', 'R2', 'i', 'a:', 'n')"
Beriszló,male,"('b', 'E', 'R2', 'i', 's', 'S', 'l', 'o:')"
Berk,male,"('b', 'E', 'R2', 'k')"
Berke,male,"('b', 'E', 'R2', 'k', 'E')"
Berker,male,"('b', 'E', 'R2', 'k', 'E', 'R2')"
Berkó,male,"('b', 'E', 'R2', 'k', 'o:')"
Bernárd,male,"('b', 'E', 'R2', 'n', 'a:', 'R2', 'd')"
Bernát,male,"('b', 'E', 'R2', 'n', 'a:', 't')"
Bertalan,male,"('b', 'E', 'R2', 't', 'A', 'l', 'A', 'n')"
Bertel,male,"('b', 'E', 'R2', 't', 'E', 'l')"
Bertil,male,"('b', 'E', 'R2', 't', 'i', 'l')"
Bertin,male,"('b', 'E', 'R2', 't', 'i', 'n')"
Bertold,male,"('b', 'E', 'R2', 't', 'o', 'l', 'd')"
Berton,male,"('b', 'E', 'R2', 't', 'o', 'n')"
Bertram,male,"('b', 'E', 'R2', 't', 'R2', 'A', 'm')"
Bertrand,male,"('b', 'E', 'R2', 't', 'R2', 'A', 'n', 'd')"
Berzsián,male,"('b', 'E', 'R2', 'z', 'Z', 'i', 'a:', 'n')"
Bese,male,"('b', 'E', 'S', 'E')"
Beten,male,"('b', 'E', 't', 'E', 'n')"
Betlen,male,"('b', 'E', 't', 'l', 'E', 'n')"
Bihar,male,"('b', 'i', 'h', 'A', 'R2')"
Bjárke,male,"('b', 'j', 'a:', 'R2', 'k', 'E')"
Björn,male,"('b', 'j', 'Y', 'R2', 'n')"
Boáz,male,"('b', 'o', 'a:', 'z')"
Bocsárd,male,"('b', 'o', 'tS', 'ts', 'a:', 'R2', 'd')"
Bod,male,"('b', 'o', 'd')"
Bodó,male,"('b', 'o', 'd', 'o:')"
Bódog,male,"('b', 'o:', 'd', 'o', 'g')"
